Block Name,Point ID,Cp,Mach_0,Mach_1,Mach_2,Mach_Magnitude,P0oPinf0,PoPinf,Points_0,Points_1,Points_2,Points_Magnitude,Result,Utot_0,Utot_1,Utot_2,Utot_Magnitude,arc_length,density,p,pressure,rho,stagnationpressure,u,v,w
unnamed_block_1,571,0.0772869514289,0,0,0,0,0.991137079665,1.00074956284,-0.0393100933371,0,-0.157253449882,0.162092353114,-0.0393100933371,0,0,0,0,1.46579736278,1.22307688415,0.714821116311,101400.949454,0.998430109514,101400.949454,0,0,0
unnamed_block_1,572,0.103967695686,0,0,0,0,0.991393355775,1.00100832442,-0.0418724967904,0,-0.156674823011,0.162173691309,-0.0418724967904,0,0,0,0,1.46842428503,1.22339313242,0.715005946017,101427.168472,0.998688271367,101427.168472,0,0,0
unnamed_block_1,573,0.130698875811,0,0,0,0,0.991650116336,1.00126757516,-0.0458437597872,0,-0.155719083669,0.162327087481,-0.0458437597872,0,0,0,0,1.47250893526,1.22370997851,0.715191125116,101453.437053,0.998946921235,101453.437053,0,0,0
unnamed_block_1,574,0.202685860061,0,0,0,0,0.992341571721,1.00196573659,-0.0503728170174,0,-0.154521889874,0.162525183109,-0.0503728170174,0,0,0,0,1.47719355183,1.22456324404,0.715689811847,101524.17826,0.999643464519,101524.17826,0,0,0
unnamed_block_1,575,0.211323413531,0,0,0,0,0.99242453787,1.00204950738,-0.0510613249373,0,-0.154322626053,0.16255070537,-0.0510613249373,0,0,0,0,1.47791031485,1.22466562541,0.715749648126,101532.666335,0.999727041153,101532.666335,0,0,0
unnamed_block_1,576,0.221481317276,0,0,0,0,0.992522107415,1.00214802319,-0.0516546639586,0,-0.154143249763,0.162567972726,-0.0516546639586,0,0,0,0,1.47853017535,1.22478602758,0.715820016567,101542.64845,0.999825328638,101542.64845,0,0,0
unnamed_block_1,577,0.294389147398,0,0,0,0,0.993222407786,1.00285511539,-0.0560569733178,0,-0.152725445178,0.162688185995,-0.0560569733178,0,0,0,0,1.48315516157,1.22565020794,0.716325082418,101614.294566,1.00053078199,101614.294566,0,0,0
unnamed_block_1,578,0.376929441452,0,0,0,0,0.994015230702,1.00365562745,-0.0593007523749,0,-0.151612011603,0.162796748416,-0.0593007523749,0,0,0,0,1.48658471503,1.2266285624,0.716896876748,101695.406451,1.00132943869,101695.406451,0,0,0
unnamed_block_1,579,0.380020276305,0,0,0,0,0.994044919047,1.00368560372,-0.0594223155581,0,-0.151567294545,0.162799436,-0.0594223155581,0,0,0,0,1.48671424195,1.22666519823,0.716918288373,101698.443797,1.00135934549,101698.443797,0,0,0
unnamed_block_1,580,0.386805076222,0,0,0,0,0.994110088973,1.0037514057,-0.059649294301,0,-0.151479631241,0.162800850709,-0.059649294301,0,0,0,0,1.48695756109,1.22674561882,0.716965289782,101705.111182,1.00142499495,101705.111182,0,0,0
unnamed_block_1,581,0.487151542615,0,0,0,0,0.995073945222,1.00472460985,-0.0631753694347,0,-0.150044314564,0.162801792485,-0.0631753694347,0,0,0,0,1.49076457301,1.22793503078,0.717660435604,101803.721093,1.00239594349,101803.721093,0,0,0
unnamed_block_1,582,0.538741917966,0,0,0,0,0.995569485398,1.00522495599,-0.0645960077358,0,-0.149437740427,0.162801358961,-0.0645960077358,0,0,0,0,1.49230928832,1.22854653422,0.718017825706,101854.418666,1.00289512998,101854.418666,0,0,0
unnamed_block_1,583,0.599120333362,0,0,0,0,0.99614943719,1.00581053241,-0.0663605948414,0,-0.148627885461,0.162769705057,-0.0663605948414,0,0,0,0,1.49425084252,1.22926220276,0.718436094577,101913.752196,1.0034793492,101913.752196,0,0,0
